3	75
6	32
3	7
6	1
8	16
8	41
3	47
1	94
3	26
5	35
4	39
8	27
5	1
6	12
10	39
8	14
5	56
5	99
6	68
9	26
10	35
7	93
3	43
1	48
7	36
7	91
9	74
10	35
10	48
6	6
9	12
3	67
5	55
1	41
1	38
8	57
4	9
7	48
10	99
9	14
10	3
1	21
5	63
3	63
1	30
6	82
4	94
8	18
5	74
9	38
7	52
10	10
8	13
9	47
2	13
7	72
9	27
2	38
5	20
10	24
4	32
8	71
3	99
1	14
5	4
10	38
10	53
7	96
6	78
6	81
6	31
8	72
5	85
4	45
5	81
2	5
10	93
7	95
2	11
1	25
6	71
1	58
9	79
3	31
1	44
7	99
1	5
9	59
9	35
4	69
9	26
3	78
6	32
5	29
9	77
10	25
7	99
9	10
9	78
9	11
2	97
10	32
10	29
9	7
2	92
8	69
8	43
8	52
9	42
7	86
10	45
4	85
4	89
5	59
9	73
5	37
3	92
4	70
3	67
9	65
10	73
5	81
9	33
7	80
5	54
6	36
10	81
9	67
4	74
8	88
9	1
9	95
7	18
1	46
2	18
4	43
2	28
2	64
8	59
10	69
1	59
5	76
2	13
5	75
5	26
6	3
4	31
7	4
6	21
4	54
8	0
8	48
10	95
9	51
4	33
1	15
5	60
5	27
7	67
8	66
3	79
10	83
5	32
5	79
10	28
3	84
3	31
4	49
1	17
9	70
6	34
10	50
5	62
4	12
8	93
8	72
8	47
7	25
9	7
5	57
7	9
9	77
2	81
10	0
4	77
9	57
2	18
10	73
10	21
7	40
8	67
2	66
6	68
4	78
8	50
1	24
1	8
1	32
5	82
10	50
2	74
3	87
9	72
8	22
9	14
10	32
10	72
5	91
10	25
2	76
2	74
7	16
6	16
1	36
6	16
3	24
5	84
1	39
5	77
1	98
8	9
1	65
2	82
8	84
2	56
9	85
1	73
4	88
4	0
9	43
9	18
7	63
1	9
10	40
7	56
6	53
10	18
2	26
8	34
5	51
4	55
7	79
1	16
4	92
3	70
5	44
7	38
7	64
4	59
3	62
10	71
1	39
3	40
4	78
6	15
4	37
7	41
2	42
7	83
1	82
1	90
10	64
10	18
4	68
4	11
8	42
6	62
8	51
1	4
9	70
10	31
2	23
8	29
2	19
5	43
2	75
7	99
6	82
2	74
2	88
10	67
3	2
5	26
10	30
1	86
8	50
8	67
9	40
3	76
8	62
5	93
9	22
4	10
3	0
2	13
10	42
2	81
3	9
10	34
7	92
